k,m,case,n_criticals,crit_index,i_crit_deg,kind
3,1,odd-odd,1,1,70.528779,pitchfork
3,2,mixed,1,1,83.620630,tangency
4,3,mixed,1,1,76.121108,tangency
5,1,odd-odd,1,1,78.463041,pitchfork
5,2,mixed,1,1,86.229421,tangency
5,3,odd-odd,2,1,53.130102,pitchfork
5,3,odd-odd,2,2,87.567107,tangency
5,4,mixed,2,1,70.006481,tangency
5,4,mixed,2,2,88.194577,tangency
6,5,mixed,2,1,65.067298,tangency
6,5,mixed,2,2,85.004761,tangency
7,1,odd-odd,1,1,81.786789,pitchfork
7,2,mixed,1,1,87.317482,tangency
7,3,odd-odd,2,1,64.623066,pitchfork
7,3,odd-odd,2,2,88.269272,tangency
7,4,mixed,2,1,76.306103,tangency
7,4,mixed,2,2,88.715674,tangency
7,5,odd-odd,3,1,44.415309,pitchfork
7,5,odd-odd,3,2,79.707708,tangency
7,5,odd-odd,3,3,88.977448,tangency
7,6,mixed,3,1,61.007666,tangency
7,6,mixed,3,2,81.663959,tangency
7,6,mixed,3,3,89.150060,tangency
8,3,mixed,1,1,83.340190,tangency
8,5,mixed,2,1,72.198568,tangency
8,5,mixed,2,2,86.292569,tangency
8,7,mixed,3,1,57.606639,tangency
8,7,mixed,3,2,78.488952,tangency
8,7,mixed,3,3,87.397806,tangency
9,1,odd-odd,1,1,83.620630,pitchfork
9,2,mixed,1,1,87.916995,tangency
9,4,mixed,2,1,79.512661,tangency
9,4,mixed,2,2,89.002743,tangency
9,5,odd-odd,3,1,56.251011,pitchfork
9,5,odd-odd,3,2,82.121707,tangency
9,5,odd-odd,3,3,89.206009,tangency
9,7,odd-odd,4,1,38.942441,pitchfork
9,7,odd-odd,4,2,72.896553,tangency
9,7,odd-odd,4,3,84.618542,tangency
9,7,odd-odd,4,4,89.435190,tangency
9,8,mixed,4,1,54.708519,tangency
9,8,mixed,4,2,75.559147,tangency
9,8,mixed,4,3,85.337558,tangency
9,8,mixed,4,4,89.506283,tangency
10,3,mixed,1,1,84.696284,tangency
10,7,mixed,3,1,65.528305,tangency
10,7,mixed,3,2,80.981486,tangency
10,7,mixed,3,3,87.928126,tangency
10,9,mixed,4,1,52.202801,tangency
10,9,mixed,4,2,72.880658,tangency
10,9,mixed,4,3,83.207695,tangency
10,9,mixed,4,4,88.399661,tangency
11,1,odd-odd,1,1,84.784091,pitchfork
11,2,mixed,1,1,88.297122,tangency
11,3,odd-odd,2,1,74.173380,pitchfork
11,3,odd-odd,2,2,88.901369,tangency
11,4,mixed,2,1,81.483536,tangency
11,4,mixed,2,2,89.184747,tangency
11,5,odd-odd,3,1,62.964308,pitchfork
11,5,odd-odd,3,2,83.603833,tangency
11,5,odd-odd,3,3,89.350918,tangency
11,6,mixed,3,1,72.923989,tangency
11,6,mixed,3,2,84.821359,tangency
11,6,mixed,3,3,89.460488,tangency
11,7,odd-odd,4,1,50.478804,pitchfork
11,7,odd-odd,4,2,76.340142,tangency
11,7,odd-odd,4,3,85.631723,tangency
11,7,odd-odd,4,4,89.538272,tangency
11,8,mixed,4,1,62.792530,tangency
11,8,mixed,4,2,78.471812,tangency
11,8,mixed,4,3,86.215520,tangency
11,8,mixed,4,4,89.596390,tangency
11,9,odd-odd,5,1,35.096801,pitchfork
11,9,odd-odd,5,2,67.410032,tangency
11,9,odd-odd,5,3,79.976988,tangency
11,9,odd-odd,5,4,86.658183,tangency
11,9,odd-odd,5,5,89.641480,tangency
11,10,mixed,5,1,50.009450,tangency
11,10,mixed,5,2,70.436200,tangency
11,10,mixed,5,3,81.111514,tangency
11,10,mixed,5,4,87.006277,tangency
11,10,mixed,5,5,89.677488,tangency
12,5,mixed,2,1,78.483308,tangency
12,5,mixed,2,2,87.546223,tangency
