k_revs,m_days,a_km,h_km,i_deg,n_basic_crossovers,total_crossovers,lat_min_deg,lat_max_deg
12,1,8054.622,1676.5,102.9367,6,144,22.82,76.64
13,1,7635.250,1257.1,100.6999,7,169,0.00,79.00
14,1,7266.457,888.3,98.9822,7,196,26.46,80.80
15,1,6939.128,561.0,97.6353,8,225,0.00,82.20
23,2,8286.913,1908.8,104.3178,12,552,11.23,75.56
25,2,7837.940,1459.8,101.7414,13,650,12.29,78.17
27,2,7445.159,1067.0,99.7869,14,756,13.29,80.15
29,2,7098.088,720.0,98.2694,15,870,14.23,81.68
31,2,6788.761,410.6,97.0687,16,992,15.12,82.90
34,3,8368.129,1990.0,104.8261,18,1224,7.40,75.12
35,3,8207.639,1829.5,103.8345,19,1295,0.00,76.11
37,3,7908.538,1530.4,102.1214,20,1443,0.00,77.84
38,3,7768.895,1390.8,101.3785,20,1520,8.36,78.58
40,3,7507.201,1129.1,100.0783,21,1680,8.81,79.89
41,3,7384.381,1006.2,99.5075,22,1763,0.00,80.47
43,3,7153.122,775.0,98.4976,23,1935,0.00,81.48
44,3,7044.098,666.0,98.0499,23,2024,9.66,81.93
46,3,6837.975,459.8,97.2506,24,2208,10.07,82.73
47,3,6740.422,362.3,96.8932,25,2303,0.00,83.09
47,4,8168.706,1790.6,103.6017,25,2350,5.80,76.37
49,4,7944.437,1566.3,102.3181,26,2548,6.07,77.66
51,4,7734.938,1356.8,101.2032,27,2754,6.33,78.78
53,4,7538.709,1160.6,100.2287,28,2968,6.58,79.75
55,4,7354.453,976.3,99.3721,29,3190,6.83,80.61
57,4,7181.041,802.9,98.6152,30,3420,7.07,81.37
59,4,7017.485,639.3,97.9432,31,3658,7.31,82.05
61,4,6862.918,484.8,97.3441,32,3904,7.54,82.65
63,4,6716.572,338.4,96.8078,33,4158,7.76,83.18
57,5,8335.405,1957.3,104.6197,31,3477,0.00,75.36
58,5,8239.120,1861.0,104.0249,31,3596,4.57,75.96
59,5,8145.567,1767.4,103.4648,32,3717,0.00,76.52
61,5,7966.172,1588.0,102.4383,33,3965,0.00,77.55
62,5,7880.109,1502.0,101.9673,33,4092,4.92,78.02
63,5,7796.330,1418.2,101.5217,34,4221,0.00,78.46
64,5,7714.740,1336.6,101.0998,34,4352,5.09,78.89
66,5,7557.773,1179.6,100.3205,35,4620,5.25,79.67
67,5,7482.230,1104.1,99.9602,36,4757,0.00,80.03
68,5,7408.543,1030.4,99.6178,36,4896,5.41,80.37
69,5,7336.642,958.5,99.2922,37,5037,0.00,80.70
71,5,7197.924,819.8,98.6868,38,5325,0.00,81.30
72,5,7130.981,752.8,98.4053,38,5472,5.72,81.59
73,5,7065.571,687.4,98.1367,39,5621,0.00,81.86
74,5,7001.638,623.5,97.8802,39,5772,5.87,82.11
76,5,6877.993,499.9,97.4011,40,6080,6.02,82.59
77,5,6818.183,440.0,97.1771,41,6237,0.00,82.82
78,5,6759.654,381.5,96.9627,41,6396,6.16,83.03
79,5,6702.363,324.2,96.7573,42,6557,0.00,83.24
71,6,8130.231,1752.1,103.3746,38,5396,3.90,76.61
73,6,7980.745,1602.6,102.5194,39,5694,4.02,77.47
77,6,7701.349,1323.2,101.0317,41,6314,4.25,78.96
79,6,7570.550,1192.4,100.3824,42,6636,4.37,79.61
83,6,7324.827,946.7,99.2394,44,7304,4.59,80.75
85,6,7209.234,831.1,98.7351,45,7650,4.70,81.26
89,6,6991.122,613.0,97.8386,47,8366,4.91,82.16
91,6,6888.088,510.0,97.4394,48,8736,5.01,82.56
95,6,6692.932,314.8,96.7240,50,9500,5.21,83.27
80,7,8321.478,1943.3,104.5325,43,6880,3.22,75.46
81,7,8252.705,1874.6,104.1077,44,7047,0.00,75.88
82,7,8185.335,1807.2,103.7008,44,7216,3.31,76.29
83,7,8119.322,1741.2,103.3108,45,7387,0.00,76.68
85,7,7991.196,1613.1,102.5778,46,7735,0.00,77.41
86,7,7929.002,1550.9,102.2332,46,7912,3.48,77.76
87,7,7868.003,1489.9,101.9021,47,8091,0.00,78.09
88,7,7808.162,1430.0,101.5839,47,8272,3.57,78.41
89,7,7749.445,1371.3,101.2778,48,8455,0.00,78.72
90,7,7691.819,1313.7,100.9834,48,8640,3.66,79.01
92,7,7579.709,1201.6,100.4269,49,9016,3.74,79.57
93,7,7525.165,1147.0,100.1638,50,9207,0.00,79.83
94,7,7471.591,1093.5,99.9102,50,9400,3.82,80.08
95,7,7418.959,1040.8,99.6657,51,9595,0.00,80.33
96,7,7367.242,989.1,99.4298,51,9792,3.90,80.57
97,7,7316.416,938.3,99.2020,52,9991,0.00,80.79
99,7,7217.340,839.2,98.7698,53,10395,0.00,81.23
100,7,7169.043,790.9,98.5645,53,10600,4.06,81.43
101,7,7121.544,743.4,98.3661,54,10807,0.00,81.63
102,7,7074.824,696.7,98.1743,54,11016,4.14,81.82
103,7,7028.860,650.7,97.9887,55,11227,0.00,82.01
104,7,6983.635,605.5,97.8091,55,11440,4.21,82.19
106,7,6895.322,517.2,97.4669,56,11872,4.29,82.53
107,7,6852.200,474.1,97.3039,57,12091,0.00,82.69
108,7,6809.745,431.6,97.1459,57,12312,4.36,82.85
109,7,6767.939,389.8,96.9927,58,12535,0.00,83.00
110,7,6726.768,348.6,96.8443,58,12760,4.44,83.15
111,7,6686.215,308.1,96.7003,59,12987,0.00,83.30
91,8,8347.639,1969.5,104.6966,49,8918,2.80,75.30
93,8,8227.279,1849.1,103.9530,50,9300,2.87,76.04
95,8,8111.163,1733.0,103.2632,51,9690,2.94,76.73
97,8,7999.056,1620.9,102.6219,52,10088,3.01,77.37
99,8,7890.740,1512.6,102.0247,53,10494,3.07,77.97
101,8,7786.013,1407.9,101.4677,54,10908,3.14,78.53
103,8,7684.690,1306.6,100.9473,55,11330,3.20,79.05
105,8,7586.596,1208.5,100.4604,56,11760,3.27,79.54
107,8,7491.569,1113.4,100.0042,57,12198,3.33,79.99
109,8,7399.459,1021.3,99.5762,58,12644,3.39,80.42
111,8,7310.125,932.0,99.1741,59,13098,3.45,80.82
113,8,7223.434,845.3,98.7959,60,13560,3.52,81.20
115,8,7139.264,761.1,98.4397,61,14030,3.58,81.56
